,timestamp,sensor_id,sensor,measurement,sensor_type,value
176,2025-08-24T12:45:41.778,ESP32,DHT11,temperature-humidity,temperature,21
177,2025-08-24T12:45:41.778,ESP32,DHT11,temperature-humidity,humidity,20
178,2025-08-24T12:45:44.868,ESP32,DHT11,temperature-humidity,temperature,22
179,2025-08-24T12:45:44.868,ESP32,DHT11,temperature-humidity,humidity,20
180,2025-08-24T12:45:47.355,ESP32,DHT11,temperature-humidity,humidity,20
181,2025-08-24T12:45:47.355,ESP32,DHT11,temperature-humidity,temperature,21
182,2025-08-24T12:45:50.481,ESP32,DHT11,temperature-humidity,humidity,20
183,2025-08-24T12:45:50.481,ESP32,DHT11,temperature-humidity,temperature,22
184,2025-08-24T12:45:53.284,ESP32,DHT11,temperature-humidity,humidity,20
185,2025-08-24T12:45:53.284,ESP32,DHT11,temperature-humidity,temperature,21
186,2025-08-24T12:46:03.494,ESP32,DHT11,temperature-humidity,humidity,20
187,2025-08-24T12:46:03.494,ESP32,DHT11,temperature-humidity,temperature,21
188,2025-08-24T12:46:07.620,ESP32,DHT11,temperature-humidity,temperature,21
189,2025-08-24T12:46:07.620,ESP32,DHT11,temperature-humidity,humidity,20
190,2025-08-24T12:46:31.443,ESP32,DHT11,temperature-humidity,humidity,20
191,2025-08-24T12:46:31.443,ESP32,DHT11,temperature-humidity,temperature,21
192,2025-08-24T12:46:34.038,ESP32,DHT11,temperature-humidity,humidity,20
193,2025-08-24T12:46:34.038,ESP32,DHT11,temperature-humidity,temperature,22
194,2025-08-24T12:46:39.774,ESP32,DHT11,temperature-humidity,humidity,20
195,2025-08-24T12:46:39.774,ESP32,DHT11,temperature-humidity,temperature,21
196,2025-08-24T12:46:45.104,ESP32,DHT11,temperature-humidity,humidity,20
197,2025-08-24T12:46:45.104,ESP32,DHT11,temperature-humidity,temperature,21
198,2025-08-24T12:46:52.466,ESP32,DHT11,temperature-humidity,temperature,21
199,2025-08-24T12:46:52.466,ESP32,DHT11,temperature-humidity,humidity,20
200,2025-08-24T12:46:56.634,ESP32,DHT11,temperature-humidity,temperature,21
201,2025-08-24T12:46:56.634,ESP32,DHT11,temperature-humidity,humidity,20
202,2025-08-24T12:46:59.706,ESP32,DHT11,temperature-humidity,humidity,20
203,2025-08-24T12:46:59.706,ESP32,DHT11,temperature-humidity,temperature,21
204,2025-08-24T12:47:02.683,ESP32,DHT11,temperature-humidity,temperature,21
205,2025-08-24T12:47:02.683,ESP32,DHT11,temperature-humidity,humidity,20
206,2025-08-24T12:47:05.172,ESP32,DHT11,temperature-humidity,humidity,20
207,2025-08-24T12:47:05.172,ESP32,DHT11,temperature-humidity,temperature,21
208,2025-08-24T12:47:08.217,ESP32,DHT11,temperature-humidity,temperature,21
209,2025-08-24T12:47:08.217,ESP32,DHT11,temperature-humidity,humidity,37
210,2025-08-24T12:47:10.717,ESP32,DHT11,temperature-humidity,temperature,21
